Rede,Nome Fantasia,Logradouro,Complemento,Bairro,Cep,Ddd,Telefone,Uf,Municipio,DtAbertura,DtFechamento,CodUnidade,Cnpj,Categoria,Classificação,Fonte,Cnes,Latitude,Longitude
Uptime,UNIDADE PERDIZES,RUA MINISTRO GODOY  339  ,,PERDIZES ,05015000,11,32557495,SP,São Paulo,,,,,Ensino,,,,,
Uptime,UNIDADE FLORIANÓPOLIS - CENTRO,Av. Mauro Ramos 1.550  ,,Centro,88020302,48,30374442,SC,Florianópolis,,,,,Ensino,,,,,
Uptime,UNIDADE SÃO BERNARDO DO CAMPO,Rua Atlântica 220  ,,Jardim do Mar,09750480,11,41257967,SP,São Bernardo do Campo,,,,,Ensino,,,,,
Uptime,UNIDADE TATUAPÉ,Rua Gonçalves Crespo 310   ,,Tatuapé,03066030,11,22270015,SP,São Paulo,,,,,Ensino,,,,,
Uptime,UNIDADE SANTANA,RUA FERNANDO SANDRESCHI 32  ,,SANTANA,02013020,11,22834366,SP,SÃO PAULO,,,,,Ensino,,,,,
Uptime,UNIDADE RIBEIRÃO PRETO - JARDIM PAULISTA,Rua Atibaia 405  Quadra 42 - Lote P7 e P8,,Jardim Paulista,14090140,16,39677778,SP,Ribeirão Preto,,,,,Ensino,,,,,
Uptime,UNIDADE SÃO CAETANO DO SUL,RUA JOAQUIM NABUCO 278  ,,SANTO ANTÔNIO,09530120,11,42298161,SP,SÃO CAETANO DO SUL,,,,,Ensino,,,,,
Uptime,UNIDADE SOROCABA,José Mesquita Sobrinho 35  ,,Jardim Vergueiro,18030125,15,30330033,SP,Sorocaba,,,,,Ensino,,,,,
Uptime,UNIDADE SÃO JOSÉ DO RIO PRETO,Rua Santo André 485  ,,Jardim Europa,15014-490,17,31216844,SP,SÃO JOSÉ DO RIO PRETO,,,,,Ensino,,,,,
Uptime,UNIDADE SÃO VICENTE,Rua Jacob Emmerich 1241  ,,Centro,11310071,13,33560702,SP,São Vicente,,,,,Ensino,,,,,
Uptime,UNIDADE MOEMA,Alameda dos Nhambiquaras 842  ,,Indianópolis,04090001,11,50553777,SP,São Paulo,,,,,Ensino,,,,,
Uptime,UNIDADE JARDINS,Alameda Jaú 20  ,,Jardim Paulista,01420000,11,31710311,SP,São Paulo,,,,,Ensino,,,,,
Uptime,UNIDADE IPIRANGA,Rua Dom Lucas Obes 231  ,,Ipiranga,04212020,11,50611624,SP,São Paulo,,,,,Ensino,,,,,
Uptime,UNIDADE TABOÃO DA SERRA,Rua Thereza Maria Luizetto 195  ,,Centro,06754010,11,28579300,SP,Taboão da Serra,,,,,Ensino,,,,,
Uptime,UNIDADE ANÁPOLIS,Avenida Dom Prudêncio 37  ,,Jundiaí,75113080,62,30984646,GO,Anápolis,,,,,Ensino,,,,-16.33266,-48.94529
Uptime,UNIDADE PIRACICABA JARDIM EUROPA,Avenida Brasil 928  ,,Jardim Europa,13416530,19,33713090,SP,Piracicaba,,,,,Ensino,,,,,
Uptime,UNIDADE CHAPECÓ,Rua Barão do Rio Branco 71e  ,,Centro,89802100,49,33160130,SC,Chapecó,,,,,Ensino,,,,,
Uptime,UNIDADE OSASCO,Rua Doutor Carlos de Morais Barros 290  ,,Vila Campesina,06023000,11,36852540,SP,Osasco,,,,,Ensino,,,,-23.54298,-46.76991
Uptime,UNIDADE MOGI DAS CRUZES,Rua Dr. Ricardo Vilela 1303  ,,Centro,08780060,11,23124885,SP,Mogi das Cruzes,,,,,Ensino,,,,,
Uptime,UNIDADE LIMEIRA,Avenida Santa Bárbara 1321  ,,Vila Rosália,13480624,19,37921300,SP,Limeira,,,,,Ensino,,,,,
Uptime,UNIDADE VILA LEOPOLDINA,Rua Schilling 348  ,,Vila Leopoldina,05302001,11,38320086,SP,São Paulo,,,,,Ensino,,,,,
Uptime,UNIDADE MARÍLIA ,AV GONCALVES DIAS 258  ,,Centro,17501030,14,31139889,SP,Marilia,,,,,Ensino,,,,,
Uptime,UNIDADE PAULINIA,Avenida Presidente Getúlio Vargas - lado ímpar 467  ,,Nova Paulínia ,13140315,19,38447554,SP,Paulínia,,,,,Ensino,,,,,
Uptime,UNIDADE CAMPINAS - TAQUARAL,Av. Doutor Heitor Penteado 260  ,,Taquaral,13075460,19,32411142,SP,Campinas,,,,,Ensino,,,,,
Uptime,UNIDADE ALPHAVILLE,Calçada das Rosas 32  ,,Alphaville,06453029,11,42084645,SP,Barueri,,,,,Ensino,,,,,
Uptime,UNIDADE BAURU,Rua Treze de Maio 12-16  ,,Centro,17015270,14,32434600,SP,Bauru,,,,,Ensino,,,,,
Uptime,UNIDADE JUNDIAÍ,RUA CAMPOS SALLES 492  ,,CENTRO,13201814,11,45227003,SP,JUNDIAI,,,,,Ensino,,,,,
Uptime,UNIDADE BRAGANÇA PAULISTA,Praça Nipon 29  ,,Jardim América,12902010,01,134030680,SP,Bragança Paulista,,,,,Ensino,,,,,
